author,statement,source,date,label
Loreben Tuquero,Video shows President Donald Trump at the Walter Reed National Military Medical Center.,Facebook posts,2026-04-19,False
Zoe Weyand,"President Donald Trump's proposed 2027 military budget would be ""the largest spending increase since World War II.”",Democratic National Committee,2026-04-03,Mostly True
Loreben Tuquero,"Video shows the United States’ April 19, 2026, strike on an Iranian cargo ship.",Social Media,2026-04-19,False
Amy Sherman,"“83% of us favor requiring a photo ID to vote. In fact, most of the civilized world requires it but not us.”",Restoration of America,2026-04-13,Half True
Maria Briceño,"El papa León XIV ""pide destituir a Donald Trump"".",Social Media,2026-04-14,False
Louis Jacobson,“Thom Tillis is no longer a senator.”,Donald Trump,2026-04-15,False
Louis Jacobson,"The U.S. Navy was created ""to free international waters from the Barbary pirates.""",Byron Donalds,2026-04-12,Mostly True
Samantha Putterman,“The Dignity Act is mass amnesty.”,Brandon Gill,2026-04-07,Half True
Maria Briceño,Pope Leo XIV “thinks it’s OK for Iran to have a nuclear weapon.”,Donald Trump,2026-04-12,Pants Fire
Amy Sherman,“Moulton voted with Republicans to thank ICE for protecting our homeland. He thanked ICE as they were terrorizing our communities and killed citizens in broad daylight.”,Commonwealth Together PAC,2026-04-08,Barely True
Maria Briceño,Photos and clips show the moon from Artemis II.,Social Media,2026-04-06,False
Loreben Tuquero,Video shows a US soldier crying and saying she misses home and her family.,Social Media,2026-04-04,False
Maria Briceño,Photos show rescues of U.S. F-15 airmen from Iran in April 2026.,Social Media,2026-04-05,Pants Fire
Jill Terreri Ramos,"As Nassau County Executive, I hired 600 new law enforcement officers and made Nassau the safest county in America.",Bruce Blakeman,2026-03-10,Barely True
Louis Jacobson,"""Bombing civilian power infrastructure is a war crime.”",Seth Moulton,2026-03-24,Mostly True
Holden Turek,New York leads the nation in population loss.,Marc Molinaro,2026-02-14,Half True
Louis Jacobson,“We've had regime change.”,Donald Trump,2026-03-29,Barely True
Emma Gavazzi,Milk prices “currently are no higher than they were in 1980’s.”,Blake Gendebien,2026-01-30,Mostly True
Louis Jacobson,“More Americans are working today than at any time in the history of our country.”,Donald Trump,2026-03-27,Half True
Maria Briceño,Video shows ICE agent removing “US citizen on a plane for being Latino.”,Facebook posts,2026-03-26,False
Loreben Tuquero,Image shows President Donald Trump asked Florida Gov. Ron DeSantis on Truth Social to pardon Tiger Woods following a DUI charge.,Social Media,2026-03-27,False
Amy Sherman,"""Mail-in voting means mail-in cheating.”",Donald Trump,2026-03-23,Pants Fire
Amy Sherman,"The SAVE America Act “requires everyone to re-register to vote in person and your driver’s license, REAL ID, or military ID aren’t even good enough.”",Mark Kelly,2026-03-17,Half True
Loreben Tuquero,Video shows Israelis fleeing to Cyprus.,Social Media,2026-03-19,False
Samantha Putterman,"""Youth underemployment for college grads is 70%"" nationwide.",James Fishback,2026-03-11,False
Amy Sherman,“9% of American citizens don't have the identification that the SAVE act requires to vote. Almost 1 in 10.”,Tammy Duckworth,2026-03-18,Mostly True
Amy Sherman,“You can't shovel snow in New York City without an ID.”,Katie Britt,2026-03-19,Barely True
Zoe Weyand,"“In the modern era, no American president has ordered more military strikes against as many different countries as Donald Trump.”",Elizabeth Warren,2026-03-03,True
Louis Jacobson,"The SAVE America Act “would force Americans to register (to vote) only in person, something only 5% of Americans do today.""",Charles Schumer,2026-03-17,Half True
Samantha Putterman,Florida school districts are the “biggest” drivers of increased property taxes.,Byron Donalds,2026-03-08,Barely True
Grace Abels,Video shows toddler crying over casket of American service member killed in Iran.,Social Media,2026-03-15,False
Loreben Tuquero,An AI video is proof that Israeli Prime Minister Benjamin Netanyahu is dead.,Social Media,2026-03-13,Pants Fire
Louis Jacobson,The U.S. produces “more oil than we can consume. We’re a net oil exporter.”,Chris Wright,2026-03-12,Half True
Maria Briceño,El líder de Corea del Norte Kim Jong Un dijo que “ningún Dios podrá proteger a Estados Unidos de nuestras nuevas armas”.,TikTok posts,2026-03-06,False
Maria Briceño,"""BREAKING: So the Israeli media reports Itamar Ben‑Gvir died in a 'car crash,' while in fact he’s been obliterated by an Iranian missile strike on his home.""",X posts,2026-03-09,False
Louis Jacobson,Iran “also has some Tomahawks.”,Donald Trump,2026-03-09,False
Maria Briceño,"El Presidente de El Salvador Nayib Bukele dijo, “con las guerras que ha empezado Donald Trump les pido a todos los inmigrantes en Estados Unidos que piensen en salir de ese país”.",TikTok posts,2026-03-05,Pants Fire
Maria Ramirez Uribe,“El régimen de Irán ha confesado que (el Cuerpo de la Guardia Revolucionaria Islámica) bombardeó por error… una escuela iraní” el 28 de febrero.,X posts,2026-03-01,False
Zoe Weyand,Iran released a list of U.S. cities it will target.,Social Media,2026-03-03,False
Samantha Putterman,"The Biden administration ""reversed"" a policy of deporting people in the country illegally who have committed felonies.",Ashley Moody,2026-03-03,False
Louis Jacobson,The 2015 Iran nuclear agreement “gave (Iran) the right to have top-of-the-line nuclear weapons.”,Donald Trump,2026-03-03,False
Samantha Putterman,"Artificial intelligence data centers ""drive up electric bills by 30 or 40%"" and ""suck up 500,000 gallons of water a day.”",James Fishback,2026-02-26,Half True
Zoe Weyand,"Video shows a US air base in Riyadh, Saudi Arabia, being destroyed by Iran.",X posts,2026-02-28,False
Amy Sherman,On the US seeking regime change,Donald Trump,2026-02-28,Full Flop
Paul Specht,"NC state Sen. Phil Berger, R-Rockingham, “killed a bill banning sex-change surgeries for minors.”",Guilford-Rockingham Alliance,2026-01-20,Barely True
Louis Jacobson,"“There is no history … that shows an air campaign alone will result in positive regime change. In fact, there's not a single example of it in the entirety of American history.”",Chris Murphy,2026-03-01,Mostly True
Maria Ramirez Uribe,“The regime in Iran has now confessed that the (Islamic Revolutionary Guard Corps) mistakenly bombed an Iranian school yesterday.”,X posts,2026-03-01,False
Maria Briceño,"“Israeli shooter opened fire inside an Austin (Texas) bar” on March 1, 2026.",X posts,2026-03-01,False
Loreben Tuquero,Videos show Iranian missiles struck and damaged the USS Abraham Lincoln aircraft carrier.,Social Media,2026-03-01,Pants Fire
Maria Briceño,"U.S. men’s hockey Olympian Brady Tkachuk said about the Canadian hockey team, “They booed our national anthem, so I had to come out and teach those maple syrup eating f----s a lesson.”",Donald Trump,2026-02-22,Pants Fire
George Headley,An Instagram video shows a New York City man sculpting a car out of snow.,Instagram posts,2026-02-24,False
Maria Briceño,An audio clip reveals a Jeffrey Epstein victim’s account of abuse by the Clintons.,Social Media,2026-02-24,Pants Fire
Loreben Tuquero,"President Donald Trump’s tariff policies “have forced American families to pay more than $1,700 each in tariff costs” since last year.",Abigail Spanberger,2026-02-24,Mostly True
Paul Specht,Says Sam Page “got busted calling Trump’s (immigration) plan unrealistic.”,NC True Conservatives PAC,2026-01-20,False
Chris Doody,“Nearly 27% of all homes sold in the first quarter of 2025 were bought by investors.”,Josh Riley,2026-01-08,Half True
Maria Briceño,"Imagen muestra a Puerto Vallarta, México, después de la muerte de Nemesio “El Mencho” Oseguera Cervantes, el líder del Cártel Jalisco Nueva Generación.",Social Media,2026-02-22,False
Maria Ramirez Uribe,"After U.S. vessel strikes in the Caribbean Sea and Pacific Ocean, “drugs entering our country by sea are down 97%.”",Donald Trump,2026-01-29,False
Maria Briceño,"Image shows Puerto Vallarta, Mexico, after the killing of Nemesio “El Mencho” Oseguera Cervantes, the head of Jalisco New Generation Cartel.",Social Media,2026-02-22,False
Grace Abels,Says “90% of health care spending treats chronic disease.”,Robert F. Kennedy Jr.,2026-01-07,False
